district	Indicator 1 Definition	Indicator 2	province	Continuous 1	Geometry	Latitude (generated)	Longitude (generated)
Meramor	Number of persons excluding nomadic population (according to official estimates)		Daykundi	65,011.0	Polygon	33.826511837	66.987777226
Mazar-e-Sharif	Number of persons excluding nomadic population (according to official estimates)		Balkh	415,053.0			
Maywand	Number of persons excluding nomadic population (according to official estimates)		Kandahar	60,864.0	Polygon	31.566969904	64.934990470
Maymana	Number of persons excluding nomadic population (according to official estimates)		Faryab	86,051.0			
Maydanshahr	Number of persons excluding nomadic population (according to official estimates)		Maydanwardag	41,959.0	Polygon	34.464309201	68.848882405
Maton	Number of persons excluding nomadic population (according to official estimates)		Khost	143,026.0	Polygon	33.329363917	69.993820072
Matakhan	Number of persons excluding nomadic population (according to official estimates)		Pakteka	25,858.0	Polygon	33.279236341	68.863406784
Marof	Number of persons excluding nomadic population (according to official estimates)		Kandahar	34,274.0	Polygon	31.489194810	67.274402286
Marmul	Number of persons excluding nomadic population (according to official estimates)		Balkh	11,832.0	Polygon	36.541540494	67.388980316
Markaz-e-Bihsod	Number of persons excluding nomadic population (according to official estimates)		Maydanwardag	123,801.0	Polygon	34.359493041	67.654121424
Mardyan	Number of persons excluding nomadic population (according to official estimates)		Jawzjan	40,006.0	Polygon	37.047888143	66.322774292
Marawara	Number of persons excluding nomadic population (according to official estimates)		Kunarha	21,223.0	Polygon	34.856211447	71.219827788
Mandozayi	Number of persons excluding nomadic population (according to official estimates)		Khost	58,546.0	Polygon	33.336522064	69.803568564
Mandol	Number of persons excluding nomadic population (according to official estimates)		Noristan	20,491.0	Polygon	35.385320560	70.208195397
Malistan	Number of persons excluding nomadic population (according to official estimates)		Ghazni	85,136.0	Polygon	33.279367749	67.240793677
Mahmod-e- Raqi	Number of persons excluding nomadic population (according to official estimates)		Kapisa	66,719.0	Polygon	35.012329506	69.382066084
Lijaahmadkhel	Number of persons excluding nomadic population (according to official estimates)		Paktya	23,662.0	Polygon	33.797792209	69.605361926
Lashkargah	Number of persons excluding nomadic population (according to official estimates)		Hilmand	108,174.0	Polygon	31.451535588	64.522943769
Lash-e-Juwayn	Number of persons excluding nomadic population (according to official estimates)		Farah	29,029.0	Polygon	31.758846643	61.322828522
Lalpor	Number of persons excluding nomadic population (according to official estimates)		Nangarhar	21,223.0	Polygon	34.322068110	71.017770453
Lal Wa Sarjangal	Number of persons excluding nomadic population (according to official estimates)		Ghor	116,238.0	Polygon	34.567172951	66.208737498
Kushk-e-Kuhna	Number of persons excluding nomadic population (according to official estimates)		Hirat	47,447.0	Polygon	34.977560349	62.629218285
Kushk	Number of persons excluding nomadic population (according to official estimates)		Hirat	129,560.0	Polygon	35.013721116	62.201428145
Kunduz	Number of persons excluding nomadic population (according to official estimates)		Kunduz	323,956.0	Polygon	36.792264068	68.860460096
Kozkunar	Number of persons excluding nomadic population (according to official estimates)		Nangarhar	57,082.0	Polygon	34.564644563	70.654578449
