event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
AFG68149,"21 July 2024",2024,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,1,"Etilaat e Roz; Hasht-e Subh; National Resistance Front of Afghanistan",Other-National,"On 21 July 2024, one Taliban commander was killed and one was wounded following an attack by National Resistance Front militants on their checkpoints in the Qala-e Haidar Khan area of PD13, Kabul city. No casualties from NRF.",1,,1722376556
AFG68150,"21 July 2024",2024,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Police Forces of Afghanistan (2021-) General Directorate of Intelligence",,"State forces","Civilians (Afghanistan)","Teachers (Afghanistan)",Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,1,"Etilaat e Roz",National,"On 21 July 2024, Taliban intelligence arrested a university professor near Ibn Sina Private University in the Red Bridge/Pulsarukh area of Kabul city. His family said he was beaten by the Taliban during arrest. His whereabouts remained unknown. He was threatened by Taliban in the past for speaking to foreign media.",0,,1722376556
AFG68160,"21 July 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Afghanistan)",,"Political militia","Civilians (Afghanistan)","Former Military Forces of Afghanistan (2021-)",Civilians,"Political militia-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Laghman,Alingar,,Alingar,34.8352,70.3607,2,"Hasht-e Subh",National,"On 21 July 2024, one former soldier was tortured and killed by unknown gunmen in Alingar district, Laghman.",1,,1722376556
AFG68166,"21 July 2024",2024,1,"Political violence","Violence against civilians",Attack,"Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)","National Resistance Front",Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Takhar,Taluqan,,Taluqan,36.7341,69.5336,1,"Aamaj News; Hasht-e Subh",National,"On 21 July 2024, Taliban shot and killed a civilian outside his house in PD1 of Taluqan city, Takhar. He was accused of being a member of the NRF. His body was not handed over to his family.",1,,1722376556
AFG68165,"21 July 2024",2024,2,"Political violence","Violence against civilians","Abduction/forced disappearance","Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)","Former Government of Afghanistan (2021-)",Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Takhar,Taluqan,,Taluqan,36.7341,69.5336,1,"Amu TV; Hasht-e Subh",National,"Around 21 July 2024 (as reported), a former municipal employee of Taluqan and brother of a former provincial police chief was arrested by Taliban from his home in Taluqan city, Takhar, on charges of collaborating with the NRF. His whereabouts remained unknown. He was later released around 6 January 2025.",0,"local administrators",1738695410
AFG68142,"20 July 2024",2024,1,"Strategic developments","Strategic developments",Other,"Unidentified Armed Group (Afghanistan)",,"Political militia","Civilians (Afghanistan)",,Civilians,"Political militia-Civilians",,4,"Caucasus and Central Asia",Afghanistan,Ghazni,Qarabagh,,Maluk,33.1634,68.1508,1,"Afghan Islamic Press News Agency; Hasht-e Subh; Pajhwok Afghan News",National,"Explosive remnants of war: On 20 July 2024, a child was killed while playing with an unexploded round, remnants of war, in the Maluk area of Qarabagh district, Ghazni.",1,,1722376556
AFG68167,"20 July 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Afghanistan)","Pashtun Tribal Militia (Afghanistan)","Political militia","Civilians (Afghanistan)","Hazara Ethnic Group (Afghanistan); Muslim Group (Afghanistan)",Civilians,"Political militia-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Urozgan,"Khas Urozgan",,"Khas Urozgan",32.9299,66.6891,2,"Etilaat e Roz; Hasht-e Subh",National,"On 20 July 2024, a Hazara imam was stabbed and killed by men wearing Taliban uniforms in the Shashpar village of Khas Urozgan district, Urozgan. He was an imam at a mosque in the village. Taliban arrested over 50 residents in connection with the incident, and later released all except three of the detainees, one accused of murder and two others for mediating the incident. The victim's wife said the attackers were Pashtun speakers.",1,,1722965588
AFG68193,"20 July 2024",2024,2,"Political violence","Violence against civilians",Attack,"Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)","Former Police Forces of Afghanistan (2021-) Afghan Local Police; Prisoners (Afghanistan)",Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Paktia,Samkani,,Samkani,33.803,69.8167,2,"Hasht-e Subh",National,"Around 20 July 2024, a former local police member was killed by Taliban in Samkani district, Paktia. His dead body was found on 27 July, two weeks after he was detained from his home in Madakhel village and taken to an unknown location by the Taliban.",1,,1722974430
AFG68164,"20 July 2024",2024,1,"Political violence","Violence against civilians",Attack,"Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)","Former Private Security Forces (Afghanistan); JMI: Junbish-i-Milli Islami",Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,"Sar-e Pol","Sozma Qala",,"Sazai Kalan",36.1106,66.2835,1,"Etilaat e Roz; Hasht-e Subh",National,"On 20 July 2024, a former bodyguard of the leader of the JMI: Junbish-i-Milli Islami (National Islamic Movement of Afghanistan) and a senior member of the National Resistance Council for Saving Afghanistan was shot and killed in his home by Taliban in the Sazai Kalan village of Sozma Qala district, Sar-e Pol.",1,,1730223728
AFG68163,"20 July 2024",2024,1,"Strategic developments","Strategic developments",Other,"Unidentified Armed Group (Afghanistan)",,"Political militia","Civilians (Afghanistan)",,Civilians,"Political militia-Civilians",,4,"Caucasus and Central Asia",Afghanistan,Parwan,Charikar,,Charikar,35.0166,69.174,1,"Afghan Islamic Press News Agency; Etilaat e Roz; Hasht-e Subh",National,"Explosive remnants of war: On 20 July 2024, at least two people were killed and six were wounded when an unexploded ordnance (likely remnants of past clashes as it was found in a metal scrap factory) went off in a market in the Sark-e-Naw area, at the limits of PD1, Charikar city, Parwan.",2,,1737435503
